hsa_circ_0002172,0.000330215,0,0.000220143,0,0,0,0,0,0.000110072,0,0.000220143,0,0,0.000110072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110072,0,0,0.000220143,0,0,0,0,0,0.000110072,0,0.000220143,0,0,0.000110072,0,0,0,0,0,0.000110072,0,0,0,0.000220143,0,0.000110072,0.000110072,0.000220143,0.000110072,0,0,0.000110072
hsa_circ_0089776,0.000375328,0,0.000250219,0,0,0,0,0,0.000125109,0,0.000250219,0,0,0.000125109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125109,0,0,0.000250219,0,0,0,0,0,0.000125109,0,0.000125109,0,0,0.000125109,0,0,0,0,0,0.000125109,0,0,0,0.000125109,0,0.000125109,0,0.000250219,0.000125109,0,0,0.000125109
hsa_circ_0001946,0.002027027,0.004054054,0,0.000675676,0.000675676,0,0.011486486,0,0,0,0,0,0,0,0.000675676,0,0,0.000675676,0.000675676,0,0.000675676,0,0,0,0.000675676,0.004054054,0.016891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001351351,0,0,0,0,0,0,0,0,0,0.002027027,0,0,0.002702703,0,0
hsa_circ_0041089,0.000680041,0,0,0.00034002,0,0,0,0,0,0,0,0,0,0,0.00034002,0.00034002,0.00034002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034002,0,0,0,0,0,0,0,0,0,0,0.00034002,0,0,0,0,0.00034002,0,0,0,0,0,0.00034002,0
hsa_circ_0041099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000366703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000366703,0,0,0,0,0,0,0,0,0,0,0,0
hsa_circ_0041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428449,0,0,0,0,0,0,0,0,0,0,0,0
hsa_circ_0089792,0.003623984,0.001098177,0.000109818,0.000219635,0.000768724,0.000549089,0.000219635,0.000109818,0.000329453,0.000109818,0,0.000109818,0.000219635,0,0.000219635,0,0.000439271,0,0.000219635,0.000329453,0.000658906,0.000109818,0.000109818,0,0.000109818,0,0,0.000109818,0.000219635,0,0.000439271,0.000109818,0.000219635,0,0.000109818,0.000878542,0,0.000109818,0.000439271,0,0.000219635,0.000109818,0.000329453,0.000109818,0,0,0.000109818,0,0.000219635,0.000219635,0.000219635,0.000439271,0,0.000109818,0.000219635,0.000109818,0,0.000109818,0.000109818,0.000109818,0.000109818,0,0.000109818,0
hsa_circ_0013871,0.000221729,0,0.000665188,0.001441242,0,0.000110865,0,0,0.000665188,0,0.001884701,0,0.003991131,0.001330377,0,0.001330377,0,0,0,0,0,0,0,0.002660754,0,0,0,0,0,0.000110865,0,0,0,0.000665188,0,0,0,0,0,0,0.000554324,0,0.001330377,0,0,0,0,0,0.006651885,0,0,0.001330377,0.001330377,0,0.000110865,0,0,0,0,0,0.001330377,0,0,0.001330377
hsa_circ_0013870,0,0,0.000706381,0.001412762,0,0,0,0,0.000706381,0,0.001883683,0,0.003885095,0.001412762,0,0.001412762,0,0,0,0,0,0,0,0.002707794,0,0,0,0,0,0.00011773,0,0,0,0.000706381,0,0,0,0,0,0,0.000588651,0,0.001295032,0,0,0,0,0,0.006475159,0,0,0.001295032,0.001412762,0,0.00011773,0,0,0,0,0,0.001412762,0,0,0.001412762
hsa_circ_0037995,0,0,0,0,0,0,0,0.000276167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276167,0,0,0,0.000276167,0,0,0,0,0.000276167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276167,0,0,0,0,0,0,0,0,0,0,0,0
